id,audio,speaker
id03701/00128,id03701/00128.wav,id03701
id03701/00001,id03701/00001.wav,id03701
id07417/00072,id07417/00072.wav,id07417
id07417/00124,id07417/00124.wav,id07417
id03184/00073,id03184/00073.wav,id03184
id03184/00022,id03184/00022.wav,id03184
id04961/00169,id04961/00169.wav,id04961
id04961/00289,id04961/00289.wav,id04961
id01184/00177,id01184/00177.wav,id01184
id01184/00123,id01184/00123.wav,id01184
id06261/00190,id06261/00190.wav,id06261
id06261/00159,id06261/00159.wav,id06261
id00906/00029,id00906/00029.wav,id00906
id00906/00028,id00906/00028.wav,id00906
id07531/00398,id07531/00398.wav,id07531
id07531/00023,id07531/00023.wav,id07531
id02477/00316,id02477/00316.wav,id02477
id02477/00061,id02477/00061.wav,id02477
